Index,ctrgcn-B,ctrgcn-BM,ctrgcn-J,ctrgcn-JM,mstgcn-B,mstgcn-BM,mstgcn-J,mstgcn-JM,skkmixf-B,skkmixf-J,skmixf-B,skmixf-BM,skmixf-J,skmixf-JM,tdgcn-B,tdgcn-BM,tdgcn-J,tdgcn-JM,tegcn-B,tegcn-J
28,77,95,77,93,77,95,77,93,77,77,77,78,77,78,77,93,77,78,77,77
29,88,128,88,94,88,82,88,133,128,88,133,79,75,133,88,75,88,88,88,88
30,49,49,49,49,49,4,49,54,49,49,49,49,49,4,49,4,49,49,49,49
31,122,150,54,110,6,143,4,143,116,6,49,47,6,110,4,20,6,116,20,6
32,90,93,90,93,91,131,91,76,90,90,90,95,90,131,90,130,90,76,90,90
33,113,120,113,120,113,120,114,120,113,113,113,105,113,120,113,113,113,120,101,113
34,47,33,47,33,47,1,47,13,28,47,47,47,47,8,47,33,47,33,47,47
35,110,142,110,137,128,128,128,128,124,110,110,46,110,141,128,128,128,128,110,110
36,115,119,116,119,39,116,115,119,149,115,115,115,115,119,115,112,115,119,116,115
37,79,130,79,89,79,134,79,97,134,74,79,97,74,79,130,97,79,97,130,130
38,64,65,64,125,64,68,64,1,64,125,34,64,64,35,64,62,64,62,125,64
39,145,145,145,145,145,144,145,144,145,145,145,145,145,144,145,14,145,145,145,145
40,45,36,45,45,45,57,45,45,45,45,45,36,45,45,45,57,45,45,45,45
41,143,143,111,140,143,143,111,139,111,143,143,101,143,107,143,143,139,143,64,19
42,24,35,24,35,24,1,24,35,34,24,24,44,24,35,24,35,24,35,24,24
43,83,83,83,148,83,87,83,87,83,83,83,98,83,83,83,135,83,98,83,83
44,128,53,122,123,128,122,128,123,124,128,10,46,124,123,128,53,124,123,124,128
45,38,18,33,33,38,33,39,18,31,38,68,33,38,42,38,18,130,139,130,130
46,133,133,133,133,133,133,130,133,133,133,133,133,133,133,133,133,133,133,133,133
47,14,16,13,16,13,16,13,16,14,13,13,14,13,16,14,13,14,16,14,14
48,129,102,153,125,129,54,0,47,73,145,126,28,145,144,154,8,73,33,73,14
49,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
50,17,24,17,24,59,21,12,30,17,72,17,144,59,144,17,6,100,23,12,17
51,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
52,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
53,47,128,47,128,151,128,10,42,128,9,47,128,47,128,47,128,47,128,142,18
54,81,81,81,81,81,81,81,74,82,81,81,148,81,79,81,148,81,148,81,81
55,18,60,18,150,18,29,144,63,18,144,144,61,144,13,18,29,13,60,18,13
56,134,134,134,134,134,134,134,134,134,134,134,97,134,97,134,134,134,134,134,134
57,63,30,63,23,63,30,63,30,63,63,3,30,3,30,63,30,63,23,63,63
58,57,23,33,59,139,149,145,17,110,33,33,20,150,23,33,59,150,59,120,120
59,128,72,57,39,57,70,100,140,8,145,57,153,57,138,48,47,8,17,14,143
60,149,149,149,17,149,5,149,149,149,149,149,149,149,149,149,149,149,17,149,149
61,90,98,90,91,98,91,90,86,90,90,90,86,90,86,90,86,90,91,90,90
62,42,42,42,102,42,42,42,42,42,42,42,102,42,42,42,126,42,42,42,42
63,133,30,88,39,142,48,47,27,47,133,88,47,47,133,133,128,133,133,122,88
64,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
65,57,150,57,57,127,69,8,127,100,28,48,57,57,23,57,20,57,99,57,48
66,29,29,50,29,29,53,29,51,50,29,29,29,50,50,29,29,50,50,50,50
67,53,53,53,122,53,53,53,53,53,53,53,122,53,124,53,122,53,123,124,124
68,133,133,88,88,142,142,88,88,133,47,88,47,88,133,133,142,47,88,133,88
69,16,5,16,16,16,21,16,16,5,16,16,52,16,16,16,21,117,16,16,5
70,83,83,83,83,83,83,83,83,83,83,83,132,83,83,83,83,83,83,83,83
71,68,44,68,72,27,32,68,32,39,27,68,32,68,9,68,31,68,44,68,68
72,64,21,38,5,38,45,64,5,118,38,64,21,38,103,64,5,38,5,64,38
73,87,132,87,87,87,83,87,87,87,87,87,87,87,131,87,87,87,87,87,87
74,148,148,148,148,148,148,148,148,148,148,148,148,148,82,148,148,148,148,148,148
75,100,100,56,129,126,129,126,100,153,128,128,128,57,0,100,128,72,154,100,128
76,10,28,25,28,10,28,25,9,8,25,25,9,25,28,25,9,10,28,10,10
77,76,76,76,76,76,76,76,79,76,76,76,76,76,82,76,76,76,76,76,76
78,60,60,60,60,60,60,60,60,60,60,60,20,60,60,60,60,60,60,60,60
79,106,55,106,73,143,42,143,56,99,106,143,38,143,73,143,116,106,143,107,106
80,128,128,128,142,128,128,128,128,128,128,128,144,128,128,128,128,128,142,128,142
81,127,46,127,25,127,124,127,46,124,127,127,46,127,124,127,25,127,46,127,127
82,52,51,51,51,52,51,52,51,52,52,52,63,52,151,52,52,52,51,52,52
83,39,19,31,111,37,111,39,111,111,39,39,111,39,110,39,19,111,111,39,111
84,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
85,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
86,4,7,7,7,7,29,7,7,7,7,29,66,61,7,29,7,7,7,3,3
87,5,17,5,149,5,16,17,17,17,17,5,16,5,149,5,17,5,149,5,5
88,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
89,89,84,88,81,81,81,95,83,81,85,89,95,85,97,88,84,89,91,76,88
90,5,100,17,103,17,32,7,103,100,100,23,32,100,54,5,100,17,103,100,17
91,22,61,68,66,22,24,68,150,61,22,22,35,68,66,22,20,22,22,22,22
92,142,47,47,142,142,128,88,48,47,88,88,47,142,133,133,142,133,48,142,88
93,140,129,129,140,140,129,129,140,140,129,140,129,129,140,140,140,129,140,129,140
94,100,1,32,1,100,1,21,1,1,53,100,35,3,1,100,1,56,1,44,44
95,114,110,106,114,114,120,143,73,114,110,114,137,106,111,114,111,106,120,55,114
96,48,51,142,15,128,142,25,28,142,32,48,142,25,37,48,20,25,28,142,47
97,79,77,79,87,79,90,79,87,90,74,74,95,74,98,79,83,79,58,96,131
98,133,133,133,123,123,128,122,131,133,133,88,133,47,133,133,142,133,88,82,82
99,32,44,32,44,32,32,32,32,32,32,32,32,32,127,32,32,32,32,32,32
100,62,36,36,36,36,36,36,36,36,62,62,38,36,36,36,36,62,36,62,36
101,148,94,79,94,79,132,97,94,82,130,79,97,97,85,97,90,133,97,82,97
102,63,15,63,16,65,63,63,16,65,63,63,63,63,16,63,63,65,16,63,63
103,56,56,56,56,56,44,56,32,56,56,56,127,56,56,56,56,56,56,56,56
104,19,19,19,19,19,105,19,19,19,19,19,19,19,105,19,19,19,19,19,19
105,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,70,128,142,128,128
106,133,133,88,48,133,123,133,123,133,133,88,47,47,133,133,142,133,80,82,82
107,149,143,72,3,149,105,72,6,12,12,12,129,149,129,100,129,129,69,17,3
108,137,137,137,137,137,137,137,137,137,137,137,137,137,137,136,137,137,137,137,137
109,5,45,5,20,5,45,5,20,5,5,5,21,5,45,5,59,5,64,5,5
110,7,23,23,22,21,17,66,52,20,21,23,20,21,22,23,23,20,29,61,14
111,127,124,127,124,124,122,127,122,122,127,127,124,127,123,46,134,124,124,127,127
112,7,46,7,7,7,7,7,7,7,7,7,127,7,7,7,7,7,7,7,7
113,118,72,118,72,118,54,118,69,118,118,118,63,118,69,118,3,118,72,118,118
114,99,99,104,99,143,129,104,112,112,99,143,99,73,11,143,73,104,56,99,110
115,46,124,33,142,127,128,10,142,102,10,128,47,111,122,127,128,111,42,128,128
116,133,133,133,123,133,133,142,123,133,133,88,47,47,133,133,88,133,80,82,82
117,43,143,125,63,125,118,62,17,23,129,40,102,125,58,43,20,125,138,43,43
118,86,86,86,86,86,86,86,74,86,86,86,86,86,86,86,86,86,86,86,86
119,31,31,31,0,31,0,31,40,31,31,31,0,31,64,31,0,31,40,31,31
120,113,113,113,105,113,105,113,115,113,113,113,115,113,59,113,105,113,107,113,113
121,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
122,36,31,36,36,36,5,36,40,41,36,36,62,36,5,36,36,36,5,36,36
123,126,102,126,109,153,102,126,126,102,126,154,102,126,126,126,109,126,126,43,43
124,20,7,66,6,137,54,128,23,29,20,49,14,20,6,49,52,6,6,53,128
125,17,61,17,60,17,22,17,20,22,59,17,23,138,58,17,17,5,17,5,5
126,141,122,124,137,124,128,124,123,122,124,128,128,124,123,122,128,46,128,128,151
127,29,143,23,29,142,29,29,23,145,139,35,142,23,143,29,5,20,23,21,66
128,36,36,36,36,36,38,36,38,41,36,36,38,36,38,36,36,36,38,36,36
129,25,25,45,22,27,25,45,127,25,45,45,28,45,22,27,150,45,45,45,45
130,74,87,87,76,74,76,74,87,74,74,74,79,74,77,74,74,74,87,87,87
131,133,123,133,123,123,123,123,128,123,123,133,47,123,47,133,88,133,88,82,134
132,50,136,7,121,7,29,29,11,124,54,29,53,7,123,7,108,20,53,109,46
133,133,51,150,52,142,128,123,121,142,122,34,48,122,19,133,128,142,88,122,120
134,5,5,5,17,5,5,5,5,5,5,5,17,5,5,5,5,5,5,5,5
135,77,80,77,95,77,130,130,90,77,77,77,130,77,130,77,130,77,130,77,77
136,8,126,8,103,25,126,28,42,145,28,28,26,27,126,25,126,25,145,150,8
137,46,128,46,128,46,71,46,128,128,46,46,102,46,13,29,128,128,128,46,46
138,119,119,119,112,119,119,119,104,119,119,119,69,119,112,119,119,119,119,119,119
139,64,3,64,20,64,64,64,20,25,64,30,3,64,64,64,64,64,3,64,64
140,81,81,81,94,86,81,86,134,81,81,81,134,81,81,86,97,81,134,81,81
141,41,129,129,54,38,12,5,122,42,129,38,38,5,12,33,129,129,8,8,47
142,64,12,36,54,33,15,64,69,13,64,64,15,64,141,64,149,36,100,38,38
143,7,50,7,49,7,3,7,121,7,23,51,22,7,21,7,20,7,7,7,7
144,55,55,55,110,55,55,55,55,55,55,55,111,55,111,55,55,55,55,55,55
145,145,13,145,125,102,35,47,102,145,13,144,150,145,102,145,144,144,139,145,145
146,127,128,127,128,127,127,127,122,128,127,10,128,127,128,128,128,127,128,141,127
147,14,32,14,14,14,32,14,32,14,14,14,14,14,109,14,32,14,14,14,14
148,56,56,56,56,42,56,12,56,56,12,56,102,56,102,56,56,11,56,56,56
149,140,129,140,140,140,129,140,140,140,140,140,113,140,113,140,113,140,149,140,140
150,20,20,20,20,20,30,20,20,20,20,20,30,20,20,20,20,20,20,20,20
151,104,116,55,117,55,140,55,2,117,55,34,118,55,117,55,117,108,117,116,17
152,4,136,54,151,54,51,54,52,52,54,54,29,54,151,4,52,54,151,54,54
153,89,97,89,89,89,97,89,89,97,89,89,97,89,89,89,89,89,89,94,89
154,21,3,21,3,21,3,21,21,21,21,21,24,21,3,21,21,21,21,21,21
155,114,110,73,110,143,110,143,110,114,73,143,107,73,110,73,110,114,110,114,143
156,128,122,151,137,124,122,123,4,122,39,128,122,39,122,124,7,122,4,124,151
157,95,95,77,95,77,94,77,94,77,77,77,81,77,77,77,77,77,95,95,95
158,79,81,79,97,135,91,79,148,97,82,79,79,94,97,79,85,79,97,79,97
159,5,142,5,66,64,7,3,23,62,5,5,66,41,46,5,7,5,30,64,43
160,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
161,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
162,27,51,27,28,27,51,45,9,25,27,27,25,27,9,27,51,27,25,27,27
163,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
164,29,121,29,7,29,7,29,4,29,29,29,7,29,7,29,7,29,7,50,29
165,148,148,148,146,148,148,148,148,148,148,148,79,148,148,148,148,148,148,148,148
166,20,150,37,35,20,7,37,23,14,20,66,46,11,62,16,23,37,60,61,2
167,124,53,123,123,124,122,124,122,122,54,122,122,123,123,123,123,123,4,151,52
168,14,13,145,35,14,29,14,16,14,145,145,14,145,16,14,16,145,16,14,14
169,133,133,133,123,133,94,123,80,133,133,133,47,47,133,133,88,133,88,14,82
170,142,10,46,46,46,46,128,46,124,123,46,122,123,122,142,122,46,46,127,46
171,148,82,82,74,82,82,74,82,82,82,90,74,82,82,82,82,148,86,82,82
172,28,57,28,100,28,150,28,150,28,28,28,150,28,57,28,36,48,57,28,28
173,103,103,103,109,103,109,103,103,109,103,109,72,103,109,103,109,103,109,103,103
174,0,60,14,138,14,62,64,5,35,14,62,60,14,45,14,60,0,68,62,62
175,32,10,32,10,32,27,32,10,25,32,32,10,32,10,32,27,32,10,32,32
176,116,116,129,116,140,116,116,116,140,115,140,116,116,115,116,116,129,19,140,116
177,104,119,104,104,104,119,104,104,104,104,104,104,104,106,104,106,104,104,104,104
178,40,36,40,40,41,36,41,36,40,40,41,36,40,36,40,0,40,47,41,24
179,119,99,119,107,116,129,115,109,119,119,115,117,115,149,119,69,99,118,115,119
180,123,123,142,123,123,128,122,122,123,122,123,47,123,137,133,88,122,47,122,123
181,134,97,134,97,134,134,134,95,134,134,134,97,134,97,134,134,89,133,134,78
182,58,67,108,70,108,38,58,112,23,108,57,130,108,58,47,70,108,108,41,130
183,87,87,83,87,87,148,86,78,87,87,87,148,87,87,87,98,87,83,86,86
184,42,53,69,53,42,69,69,53,69,69,69,34,42,53,69,69,69,69,145,69
185,7,7,7,7,7,7,7,7,7,7,7,21,7,7,7,7,7,7,7,7
186,81,96,81,96,96,130,82,80,80,81,80,131,80,131,81,82,81,83,80,81
187,144,70,144,15,144,15,144,15,145,144,144,15,144,15,144,144,37,15,70,70
188,26,120,26,112,26,149,26,120,26,26,26,112,26,26,26,120,26,120,26,26
189,127,46,127,137,46,122,127,123,46,142,127,122,127,128,127,128,142,128,127,47
190,133,133,88,123,133,133,133,88,133,133,88,47,47,133,133,88,133,133,14,82
191,118,118,118,72,118,38,118,118,72,118,118,38,118,118,118,38,118,118,118,118
192,82,81,82,82,82,131,82,82,82,82,96,131,82,80,82,82,82,81,82,82
193,127,127,127,9,127,127,127,127,124,127,127,124,127,10,127,127,127,127,127,127
194,4,142,122,122,4,142,122,7,142,4,122,128,4,142,137,7,4,142,122,142
195,108,104,108,104,108,104,108,104,108,108,108,104,108,108,108,104,108,104,108,108
196,89,89,89,94,89,94,89,89,89,89,89,89,89,89,89,81,89,85,89,89
197,0,17,23,16,30,29,30,14,16,22,30,17,21,15,59,5,21,116,21,21
198,109,109,109,109,109,109,109,109,109,109,109,109,109,102,109,109,109,109,109,109
199,142,71,142,22,142,128,137,142,142,136,137,61,137,142,142,71,136,66,142,142
200,39,19,39,69,39,19,39,114,19,39,39,37,39,117,39,19,39,19,39,39
201,127,127,95,124,124,123,36,89,127,36,127,127,36,127,36,123,36,124,127,36
202,27,70,70,0,27,70,70,125,26,108,30,30,70,24,70,3,70,24,70,70
203,22,59,22,22,22,22,22,59,22,22,22,59,22,22,22,22,22,22,22,22
204,56,56,72,56,72,56,72,69,100,56,56,56,72,69,56,32,72,100,72,72
205,41,41,40,38,150,41,150,24,39,150,24,25,150,41,150,41,150,38,40,40
206,120,11,120,106,120,73,120,73,120,120,120,107,120,107,120,73,120,113,120,120
207,122,142,142,51,142,128,142,53,142,142,142,128,142,128,142,142,142,48,122,136
208,30,30,60,59,30,60,22,60,30,22,30,30,60,30,30,30,22,22,30,22
209,54,53,54,141,49,53,54,53,141,54,54,151,54,54,54,53,54,141,53,54
210,13,15,23,139,13,18,14,17,14,14,63,63,13,15,13,18,13,15,14,14
211,121,23,66,66,66,66,66,121,121,121,66,66,66,66,121,66,66,23,66,4
212,29,29,29,49,54,32,29,50,29,29,29,63,29,29,29,29,29,29,71,51
213,126,52,126,128,126,122,126,62,151,126,42,71,126,52,126,128,126,52,29,126
214,84,84,85,85,85,84,84,84,84,84,84,75,84,85,84,84,84,84,84,84
215,8,8,8,8,8,28,8,8,8,8,8,8,8,100,8,28,8,100,8,8
216,144,34,34,37,34,34,144,34,34,144,34,28,34,47,34,33,34,33,34,34
217,9,54,46,12,10,124,9,53,53,9,9,149,122,12,124,53,46,46,44,9
218,27,7,27,6,27,7,27,141,4,68,68,7,68,127,27,7,27,6,27,68
219,109,53,7,127,3,114,7,30,46,50,50,53,50,112,50,112,46,127,109,117
220,25,10,10,28,25,25,8,9,10,10,142,6,10,52,25,9,10,28,8,25
221,69,70,67,118,69,67,69,70,118,69,69,70,70,70,69,70,69,30,69,70
222,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
223,1,9,1,34,1,45,1,1,1,1,1,34,1,34,1,27,1,34,1,1
224,93,98,93,98,132,98,132,135,132,93,132,98,131,97,132,98,93,98,132,97
225,28,127,147,127,126,46,147,57,32,147,28,46,128,127,10,127,68,35,10,9
226,88,88,88,88,88,89,88,88,88,88,88,88,88,88,88,88,88,88,88,88
227,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
228,60,59,30,107,107,59,30,120,30,60,30,107,60,30,30,59,60,59,61,22
229,143,143,143,42,149,139,137,4,122,34,47,5,6,110,6,142,110,142,29,45
230,32,10,32,25,32,32,30,10,32,32,100,25,32,57,32,25,32,25,32,32
231,87,77,78,78,78,78,78,77,77,78,78,78,87,81,78,77,87,77,87,87
232,125,116,45,31,45,116,45,45,150,45,125,25,45,116,125,31,45,116,125,125
233,101,101,101,101,101,101,101,101,101,101,101,101,101,106,101,101,101,106,101,101
234,128,122,122,122,124,122,122,54,53,142,122,122,124,122,128,122,122,122,124,124
235,142,137,137,126,142,142,137,137,142,142,121,137,138,122,142,124,142,137,126,142
236,105,105,105,105,105,118,105,105,105,105,105,118,105,105,105,105,105,105,105,105
237,24,125,24,150,45,27,24,27,45,24,24,66,45,150,45,125,24,150,45,45
238,144,144,144,144,144,144,144,70,144,144,144,70,144,144,144,70,144,70,144,144
239,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
240,142,142,88,133,142,142,4,143,47,47,142,88,88,47,88,142,88,88,120,47
241,7,59,7,59,7,17,7,17,7,7,7,103,7,66,7,58,7,66,7,7
242,40,54,150,46,41,54,31,23,2,31,0,22,0,6,31,23,31,23,150,14
243,145,139,139,139,139,16,139,16,139,55,145,62,144,110,139,5,139,139,153,143
244,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
245,45,10,41,10,41,10,41,10,45,41,43,9,41,9,24,104,41,100,34,41
246,46,123,127,53,124,46,46,53,141,46,46,53,46,112,46,98,50,124,59,32
247,139,126,140,126,139,126,139,126,139,140,139,101,140,101,139,126,140,126,140,149
248,76,76,76,76,76,76,93,131,131,131,93,74,131,131,76,76,131,76,131,93
249,88,133,142,142,142,142,142,88,133,133,88,47,88,133,133,128,133,80,82,88
250,19,129,19,19,19,115,19,115,19,19,19,19,19,19,19,19,19,129,19,19
251,88,133,88,150,142,88,88,23,47,88,88,88,88,47,133,128,47,142,142,88
252,83,87,146,136,134,89,95,74,134,146,75,89,146,134,134,97,146,89,146,146
253,45,18,45,47,45,45,45,45,24,45,45,25,45,45,24,45,45,45,45,45
254,35,6,35,7,35,53,35,53,35,12,35,46,35,46,35,6,35,6,35,145
255,6,127,127,46,6,6,127,21,46,6,130,46,46,46,6,46,46,58,6,46
256,15,35,145,35,14,35,13,35,13,13,13,126,13,35,15,35,13,35,13,13
257,33,33,33,8,33,8,33,8,33,33,33,8,33,8,33,8,33,8,33,33
258,56,56,56,32,56,56,56,56,56,56,56,9,56,32,56,32,56,32,56,56
259,130,92,130,81,130,130,130,77,130,130,130,97,130,130,130,130,130,92,130,130
260,1,54,1,9,1,9,1,9,1,1,1,9,1,8,1,9,1,52,1,1
261,25,25,25,27,10,53,25,27,25,10,25,71,10,69,10,25,25,27,10,25
262,68,150,68,68,68,68,68,129,65,68,68,67,65,68,68,52,68,68,65,68
263,42,147,42,147,42,42,42,42,42,42,42,102,42,42,42,42,42,42,109,42
264,46,46,141,52,141,25,127,8,46,28,46,46,32,141,46,51,141,29,127,32
265,38,1,41,44,38,34,38,35,38,43,38,100,43,35,38,32,41,100,43,43
266,117,117,117,31,117,117,117,118,117,117,19,117,117,115,117,117,117,117,117,117
267,144,144,144,13,144,144,144,13,144,144,144,13,144,13,144,13,144,144,144,144
268,40,40,40,41,41,40,40,41,115,41,41,40,41,40,40,115,40,40,40,40
269,10,126,9,128,10,126,9,126,10,10,10,136,9,126,10,126,9,126,9,48
270,116,116,115,116,116,116,116,116,116,116,115,116,116,116,116,116,116,116,116,116
271,31,120,150,119,115,37,116,110,117,37,70,120,2,120,149,19,59,110,2,2
272,31,117,31,19,31,31,116,19,117,37,37,117,37,113,37,37,31,117,37,37
273,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
274,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,37,16,16,16,16
275,146,146,146,146,77,146,146,77,77,77,77,146,77,77,146,146,77,146,146,77
276,117,101,139,139,6,17,12,48,23,143,50,56,17,139,138,128,143,126,109,143
277,25,25,57,32,100,32,32,8,30,25,57,32,25,34,25,32,32,32,8,25
278,8,28,8,33,25,28,8,8,45,8,28,47,8,45,8,28,8,8,8,8
279,111,111,55,111,55,111,55,102,143,111,114,19,110,102,143,111,111,143,111,55
280,4,51,50,52,50,49,50,4,50,50,50,49,51,4,50,50,50,52,50,4
281,154,128,154,6,154,35,8,6,8,154,8,33,154,6,4,128,154,6,153,57
282,123,48,133,123,123,78,122,93,47,123,123,47,123,47,133,88,122,47,122,88
283,128,128,128,128,128,128,128,142,151,128,128,128,128,136,128,128,128,128,128,128
284,25,25,25,25,25,25,10,44,9,48,10,68,10,28,25,25,25,57,25,25
285,110,111,110,73,110,111,110,73,110,110,110,55,110,110,110,110,110,110,110,110
286,16,14,16,16,14,14,16,16,14,14,14,14,16,16,16,16,14,16,14,14
287,29,50,29,50,29,50,29,4,29,29,29,29,29,7,29,29,29,29,29,29
288,21,21,21,22,21,21,21,21,21,21,21,21,21,21,21,59,21,21,21,21
289,76,74,76,74,76,148,76,74,86,74,74,79,76,148,76,98,76,98,76,76
290,133,48,133,52,142,128,142,23,47,133,88,48,47,48,133,142,133,88,51,47
291,23,133,6,142,137,142,143,133,142,142,142,57,142,104,48,142,142,142,142,6
292,40,36,41,40,41,36,41,40,40,41,41,40,41,40,40,40,41,40,41,41
293,41,139,43,145,150,143,49,126,47,31,140,150,40,144,31,20,72,24,41,21
294,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
295,150,70,69,150,70,70,70,150,42,69,70,145,69,2,70,150,150,150,70,70
296,134,134,134,130,134,134,134,130,134,134,134,77,134,134,134,134,134,134,134,134
297,64,117,40,125,129,117,37,70,26,37,37,120,125,24,64,115,0,21,0,31
298,69,137,69,137,69,137,69,138,128,137,69,142,137,126,69,137,69,137,69,69
299,129,122,26,138,138,136,129,122,129,116,138,151,129,122,129,136,26,26,26,129
300,115,129,115,115,26,113,116,116,116,115,116,113,19,113,115,117,115,115,116,116
301,134,134,134,134,134,134,97,134,134,97,134,92,97,134,97,134,97,92,133,97
302,75,89,75,89,89,89,75,89,89,75,75,146,75,75,89,75,75,146,75,88
303,72,69,72,69,72,72,72,118,72,72,72,72,72,69,72,69,72,118,72,72
304,65,67,65,67,65,142,65,65,65,65,65,67,65,67,65,67,65,67,65,65
305,80,79,80,90,96,79,82,79,74,80,82,83,90,79,82,130,96,87,74,74
306,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,49,4,4,4
307,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,104,101,112,101,101
308,81,81,81,81,95,81,81,81,81,81,81,81,81,77,81,81,81,81,81,81
309,70,37,3,138,69,142,120,2,142,119,119,142,119,37,0,37,66,116,70,0
310,33,8,33,48,33,48,33,48,8,33,33,8,33,48,33,48,33,33,33,33
311,101,113,101,112,101,101,101,113,101,101,101,101,101,113,101,101,101,113,101,101
312,21,3,21,21,21,3,21,3,3,21,21,3,21,2,3,2,21,3,3,3
313,84,130,85,85,84,85,84,75,85,84,85,85,84,94,84,95,85,85,84,89
314,139,139,139,139,139,139,139,16,139,16,139,16,139,16,139,139,139,139,139,139
315,126,51,154,1,35,51,154,28,12,154,150,46,154,44,1,51,154,52,1,154
316,148,81,148,82,148,81,148,81,81,81,148,82,81,81,81,81,148,81,97,81
317,100,124,72,66,61,126,30,23,22,30,57,122,30,23,126,128,30,22,125,36
318,83,148,83,81,83,82,83,82,83,83,83,81,80,82,83,82,83,86,83,83
319,62,2,3,30,69,30,3,30,30,30,3,35,100,30,62,3,30,2,30,30
320,2,62,2,62,2,36,37,68,2,2,67,62,2,36,2,36,2,40,2,2
321,54,54,54,54,54,54,54,54,54,54,54,12,54,54,54,54,54,54,54,54
322,133,133,133,134,133,94,133,131,133,133,133,133,133,133,133,88,133,133,82,134
323,54,29,54,29,54,29,54,29,54,54,54,29,54,54,54,54,54,69,54,54
324,88,88,88,88,88,88,88,88,88,88,88,88,88,82,88,88,88,88,88,88
